country,score,gdp,life_exp,freedom,gov_corr,generosity,year
Spain,6.402999878,1.384397864,0.8889606,0.40878123,0.070914097,0.190133572,2017
Qatar,6.375,1.870765686,0.710098088,0.604130983,0.439299256,0.33047387,2017
Colombia,6.356999874,1.070622325,0.595027924,0.477487415,0.046668742,0.149014473,2017
Saudi Arabia,6.343999863,1.530623555,0.59014833,0.449750572,0.273432255,0.147616014,2017
Trinidad and Tobago,6.168000221,1.361355901,0.519983292,0.518630743,0.008964816,0.325296462,2017
Kuwait,6.105000019,1.632952452,0.632105708,0.496337593,0.21515955,0.228289798,2017
Slovakia,6.09800005,1.325393558,0.712732911,0.295817465,0.024210852,0.136544481,2017
Bahrain,6.086999893,1.488412261,0.653133035,0.536746919,0.25704217,0.172668487,2017
Malaysia,6.084000111,1.29121542,0.618784428,0.402264982,0.065600708,0.41660893,2017
Nicaragua,6.071000099,0.737299204,0.653095961,0.447551847,0.130687982,0.301674217,2017
Ecuador,6.007999897,1.000820398,0.685636222,0.455198199,0.140134647,0.150112465,2017
El Salvador,6.002999783,0.909784496,0.596018553,0.43245253,0.08998096,0.078257985,2017
Poland,5.97300005,1.291787863,0.699475348,0.520342112,0.059307806,0.158465967,2017
Uzbekistan,5.971000195,0.786441088,0.498272628,0.658248663,0.246528223,0.415983647,2017
Italy,5.964000225,1.395066619,0.853144348,0.256450713,0.028028091,0.172789648,2017
Russia,5.962999821,1.281778097,0.547349334,0.373783112,0.032962881,0.052263822,2017
Belize,5.955999851,0.907975316,0.450191766,0.547509372,0.096581072,0.240015641,2017
Japan,5.920000076,1.416915178,0.913475871,0.505625546,0.163760737,0.120572768,2017
Lithuania,5.90199995,1.314582348,0.62894994,0.234231785,0.011865643,0.010164657,2017
Algeria,5.872000217,1.091864467,0.617584646,0.233335808,0.14609611,0.069436647,2017
Latvia,5.849999905,1.260748625,0.638566971,0.325707912,0.073842727,0.153074786,2017
South Korea,5.837999821,1.401678443,0.900214076,0.257921666,0.063282669,0.206674367,2017
Moldova,5.837999821,0.72887063,0.589465201,0.240729049,0.010091286,0.208779126,2017
Romania,5.824999809,1.217683911,0.685158312,0.457003742,0.004387901,0.133519918,2017
Bolivia,5.822999954,0.833756566,0.47363025,0.558732927,0.060477726,0.225560725,2017
Turkmenistan,5.822000027,1.130776763,0.43772608,0.418271929,0.25927034,0.249924988,2017
Kazakhstan,5.818999767,1.28455627,0.606041551,0.437454283,0.119282886,0.201964423,2017
North Cyprus,5.809999943,1.346911311,0.834647238,0.471203625,0.155353352,0.266845703,2017
Slovenia,5.757999897,1.341205955,0.790828228,0.572575808,0.045128979,0.242649093,2017
Peru,5.715000153,1.035225272,0.630166113,0.450002879,0.047049087,0.126819715,2017
Mauritius,5.629000187,1.189395547,0.638007462,0.491247326,0.042181555,0.360933751,2017
Cyprus,5.620999813,1.355938077,0.844714701,0.355111539,0.041237976,0.271254301,2017
Estonia,5.611000061,1.32087934,0.695168316,0.47913143,0.183248922,0.098890811,2017
Belarus,5.568999767,1.15655756,0.637714267,0.295400262,0.156313822,0.155137509,2017
Libya,5.525000095,1.101803064,0.52016902,0.46573323,0.09261021,0.152073666,2017
Turkey,5.5,1.198274374,0.637605608,0.3007406,0.09967158,0.046693042,2017
Paraguay,5.493000031,0.932537317,0.579250693,0.473507792,0.091065913,0.224150658,2017
"Hong Kong S.A.R., China",5.472000122,1.551674843,0.943062425,0.490968645,0.293933749,0.374465793,2017
Philippines,5.429999828,0.857699215,0.468009055,0.585214674,0.099331893,0.193513423,2017
Serbia,5.394999981,1.069317579,0.650784671,0.208715528,0.040903781,0.220125884,2017
Jordan,5.335999966,0.991012394,0.604590058,0.418421149,0.119803272,0.17217046,2017
Hungary,5.323999882,1.286011934,0.687763453,0.175863519,0.036636937,0.078401662,2017
Jamaica,5.31099987,0.925579309,0.641022384,0.474307239,0.055267781,0.233818337,2017
Croatia,5.293000221,1.222556233,0.701288521,0.255772293,0.04310311,0.248002976,2017
Kosovo,5.278999805,0.951484382,0.54145205,0.260287941,0.057471618,0.319931448,2017
China,5.272999763,1.081165791,0.741415501,0.472787708,0.022794275,0.028806841,2017
Pakistan,5.269000053,0.726883531,0.402047783,0.235215262,0.124348067,0.315446019,2017
Indonesia,5.262000084,0.995538592,0.492345721,0.443323463,0.015317135,0.611704588,2017
Venezuela,5.25,1.128431201,0.617144227,0.153997123,0.064491123,0.06501963,2017
Montenegro,5.236999989,1.121129036,0.667464674,0.194989055,0.088174194,0.197911024,2017
Morocco,5.235000134,0.878114581,0.597710669,0.408158332,0.087763183,0.032209955,2017
Azerbaijan,5.234000206,1.153601766,0.540775776,0.398155838,0.180987507,0.04526934,2017
Dominican Republic,5.230000019,1.079373837,0.574873745,0.552589834,0.113945253,0.18696785,2017
Greece,5.227000237,1.289487481,0.810198903,0.095731251,0.043289777,0,2017
Lebanon,5.224999905,1.074987531,0.735081077,0.288515985,0.03751383,0.264450759,2017
Portugal,5.195000172,1.315175295,0.795843542,0.4984653,0.015869452,0.095102713,2017
Bosnia and Herzegovina,5.18200016,0.982409418,0.705186307,0.204403177,0,0.328867495,2017
Honduras,5.181000233,0.730573118,0.58256948,0.34807986,0.073345453,0.236188874,2017
Macedonia,5.175000191,1.064577937,0.644948184,0.325905979,0.060277794,0.253760964,2017
Somalia,5.151000023,0.022643184,0.113989137,0.602126956,0.282410324,0.291631311,2017
Vietnam,5.073999882,0.788547575,0.652168989,0.571055591,0.087633237,0.234968051,2017
Nigeria,5.073999882,0.783756256,0.05691573,0.394952565,0.026121566,0.230947196,2017
Tajikistan,5.040999889,0.524713635,0.529235125,0.471566707,0.146377146,0.248997644,2017
Bhutan,5.011000156,0.885416389,0.495879292,0.501537681,0.17338039,0.474054545,2017
Kyrgyzstan,5.004000187,0.596220076,0.553457797,0.454943389,0.039439179,0.428580374,2017
Nepal,4.961999893,0.479820192,0.504130781,0.440305948,0.072975546,0.394096166,2017
Mongolia,4.954999924,1.027235866,0.557783484,0.394143969,0.032902289,0.33846423,2017
South Africa,4.828999996,1.054698706,0.18708007,0.479246736,0.072509497,0.13936238,2017
Tunisia,4.804999828,1.007265806,0.613212049,0.28968069,0.086723149,0.049693357,2017
Palestinian Territories,4.775000095,0.716249228,0.565666974,0.254711062,0.089282602,0.114173174,2017
Egypt,4.735000134,0.989701807,0.520187259,0.282110155,0.114381365,0.128631443,2017
Bulgaria,4.714000225,1.161459088,0.70821768,0.289231718,0.011051531,0.113177694,2017
Sierra Leone,4.709000111,0.368420929,0.005564754,0.318697691,0.071095176,0.293040901,2017
Cameroon,4.695000172,0.564305365,0.132892117,0.430388749,0.051306631,0.236298457,2017
Iran,4.691999912,1.156873107,0.639333189,0.249322608,0.048761073,0.387242913,2017
Albania,4.644000053,0.996192753,0.731159747,0.381498635,0.039864216,0.201312944,2017
Bangladesh,4.607999802,0.586682975,0.533241034,0.478356659,0.123717859,0.172255352,2017
Namibia,4.573999882,0.964434326,0.338611811,0.520303547,0.093146972,0.077133745,2017
Kenya,4.552999973,0.560479462,0.30998835,0.452763766,0.064641319,0.444860309,2017
Mozambique,4.550000191,0.23430565,0.106654435,0.480791092,0.179436386,0.322228104,2017
Myanmar,4.545000076,0.36711055,0.397522569,0.514492035,0.188816205,0.838075161,2017
Senegal,4.534999847,0.479309022,0.409362853,0.377922267,0.115460448,0.183468893,2017
Zambia,4.513999939,0.636406779,0.257835895,0.461603492,0.07821355,0.249580145,2017
Iraq,4.497000217,1.102710485,0.50118047,0.288555533,0.107215755,0.199637264,2017
Gabon,4.465000153,1.198210239,0.356578588,0.312328577,0.076046787,0.043785378,2017
Ethiopia,4.460000038,0.339233845,0.353409708,0.408842742,0.165455714,0.31265074,2017
Sri Lanka,4.440000057,1.009850144,0.625130832,0.561213255,0.073653966,0.490863562,2017
Armenia,4.375999928,0.900596738,0.637524426,0.198303267,0.026674422,0.083488092,2017
India,4.315000057,0.792221248,0.455427617,0.469987005,0.092226885,0.231538489,2017
Mauritania,4.291999817,0.648457289,0.28534928,0.096098043,0.136957005,0.201870024,2017
Congo (Brazzaville),4.290999889,0.808964252,0.289957434,0.435025871,0.079618134,0.120852128,2017
Georgia,4.285999775,0.950612664,0.649546981,0.309410036,0.251666635,0.054008815,2017
Congo (Kinshasa),4.28000021,0.092102349,0.191407025,0.235961348,0.060241356,0.246455833,2017
Mali,4.190000057,0.476180494,0.169365674,0.306613743,0.104970247,0.183354199,2017
Ivory Coast,4.179999828,0.603048921,0.04864217,0.447706193,0.130061775,0.20123747,2017
Cambodia,4.168000221,0.601765096,0.429783404,0.633375823,0.068105951,0.385922968,2017
Sudan,4.138999939,0.659516692,0.290920824,0.014995855,0.08984752,0.182317451,2017
Ghana,4.119999886,0.667224824,0.295637727,0.423026294,0.02533637,0.256923944,2017
Ukraine,4.096000195,0.894651949,0.575903952,0.122974776,0.023029471,0.270061463,2017
Uganda,4.080999851,0.381430715,0.217632607,0.443185955,0.057069719,0.325766057,2017
Burkina Faso,4.032000065,0.350227714,0.215844259,0.324367851,0.120328106,0.250864685,2017
Niger,4.027999878,0.161925331,0.268505007,0.363658696,0.138572946,0.228673846,2017
Malawi,3.970000029,0.233442038,0.315089583,0.466914654,0.072711654,0.28717047,2017
Chad,3.936000109,0.438012987,0.041134715,0.162342027,0.053581882,0.21611385,2017
Zimbabwe,3.875,0.375846535,0.196763754,0.336384207,0.095375381,0.189143494,2017
Lesotho,3.808000088,0.521021247,0,0.390661299,0.11909464,0.157497272,2017
Angola,3.795000076,0.85842818,0.049868666,0,0.069720335,0.09792649,2017
Afghanistan,3.79399991,0.401477218,0.180746779,0.10617952,0.06115783,0.311870933,2017
Botswana,3.766000032,1.122094154,0.341755509,0.505196333,0.098583199,0.099348448,2017
Benin,3.657000065,0.431085408,0.209930211,0.425962776,0.060929015,0.207948461,2017
Madagascar,3.644000053,0.305808693,0.375223309,0.189196765,0.067231975,0.20873253,2017
Haiti,3.602999926,0.368610263,0.27732113,0.030369857,0.09987215,0.489203781,2017
Yemen,3.592999935,0.591683447,0.310080916,0.249463722,0.056767423,0.104125209,2017
South Sudan,3.59100008,0.397248626,0.163486004,0.147062436,0.116793513,0.285670817,2017
Liberia,3.532999992,0.119041793,0.229918197,0.332881182,0.038948249,0.266549885,2017
Guinea,3.506999969,0.24454993,0.194129139,0.348587513,0.110937618,0.264815092,2017
Togo,3.494999886,0.305444717,0.247105569,0.380426139,0.095665015,0.196896151,2017
Rwanda,3.470999956,0.368745893,0.326424807,0.581843853,0.455220014,0.252756029,2017
Syria,3.461999893,0.777153134,0.500533342,0.081539445,0.151347131,0.493663728,2017
Tanzania,3.348999977,0.511135876,0.364509284,0.390017778,0.066035107,0.354256362,2017
Burundi,2.904999971,0.091622569,0.151610792,0.059900753,0.084147945,0.204435185,2017
Central African Republic,2.693000078,0,0.018772686,0.270842046,0.056565076,0.280876487,2017
