country,score,gdp,life_exp,freedom,gov_corr,generosity,year
Finland,7.769,1.34,0.986,0.596,0.393,0.153,2019
Denmark,7.6,1.383,0.996,0.592,0.41,0.252,2019
Norway,7.554,1.488,1.028,0.603,0.341,0.271,2019
Iceland,7.494,1.38,1.026,0.591,0.118,0.354,2019
Netherlands,7.488,1.396,0.999,0.557,0.298,0.322,2019
Switzerland,7.48,1.452,1.052,0.572,0.343,0.263,2019
Sweden,7.343,1.387,1.009,0.574,0.373,0.267,2019
New Zealand,7.307,1.303,1.026,0.585,0.38,0.33,2019
Canada,7.278,1.365,1.039,0.584,0.308,0.285,2019
Austria,7.246,1.376,1.016,0.532,0.226,0.244,2019
Australia,7.228,1.372,1.036,0.557,0.29,0.332,2019
Costa Rica,7.167,1.034,0.963,0.558,0.093,0.144,2019
Israel,7.139,1.276,1.029,0.371,0.082,0.261,2019
Luxembourg,7.09,1.609,1.012,0.526,0.316,0.194,2019
United Kingdom,7.054,1.333,0.996,0.45,0.278,0.348,2019
Ireland,7.021,1.499,0.999,0.516,0.31,0.298,2019
Germany,6.985,1.373,0.987,0.495,0.265,0.261,2019
Belgium,6.923,1.356,0.986,0.473,0.21,0.16,2019
United States,6.892,1.433,0.874,0.454,0.128,0.28,2019
Czech Republic,6.852,1.269,0.92,0.457,0.036,0.046,2019
United Arab Emirates,6.825,1.503,0.825,0.598,0.182,0.262,2019
Malta,6.726,1.3,0.999,0.564,0.151,0.375,2019
Mexico,6.595,1.07,0.861,0.433,0.073,0.074,2019
France,6.592,1.324,1.045,0.436,0.183,0.111,2019
Taiwan,6.446,1.368,0.914,0.351,0.097,0.242,2019
Chile,6.444,1.159,0.92,0.357,0.056,0.187,2019
Guatemala,6.436,0.8,0.746,0.535,0.078,0.175,2019
Saudi Arabia,6.375,1.403,0.795,0.439,0.132,0.08,2019
Qatar,6.374,1.684,0.871,0.555,0.167,0.22,2019
Spain,6.354,1.286,1.062,0.362,0.079,0.153,2019
Panama,6.321,1.149,0.91,0.516,0.054,0.109,2019
Brazil,6.3,1.004,0.802,0.39,0.086,0.099,2019
Uruguay,6.293,1.124,0.891,0.523,0.15,0.127,2019
Singapore,6.262,1.572,1.141,0.556,0.453,0.271,2019
El Salvador,6.253,0.794,0.789,0.43,0.074,0.093,2019
Italy,6.223,1.294,1.039,0.231,0.03,0.158,2019
Bahrain,6.199,1.362,0.871,0.536,0.11,0.255,2019
Slovakia,6.198,1.246,0.881,0.334,0.014,0.121,2019
Trinidad & Tobago,6.192,1.231,0.713,0.489,0.016,0.185,2019
Poland,6.182,1.206,0.884,0.483,0.05,0.117,2019
Uzbekistan,6.174,0.745,0.756,0.631,0.24,0.322,2019
Lithuania,6.149,1.238,0.818,0.291,0.042,0.043,2019
Colombia,6.125,0.985,0.841,0.47,0.034,0.099,2019
Slovenia,6.118,1.258,0.953,0.564,0.057,0.144,2019
Nicaragua,6.105,0.694,0.835,0.435,0.127,0.2,2019
Kosovo,6.1,0.882,0.758,0.489,0.006,0.262,2019
Argentina,6.086,1.092,0.881,0.471,0.05,0.066,2019
Romania,6.07,1.162,0.825,0.462,0.005,0.083,2019
Cyprus,6.046,1.263,1.042,0.406,0.041,0.19,2019
Ecuador,6.028,0.912,0.868,0.498,0.087,0.126,2019
Kuwait,6.021,1.5,0.808,0.493,0.097,0.142,2019
Thailand,6.008,1.05,0.828,0.557,0.028,0.359,2019
Latvia,5.94,1.187,0.812,0.264,0.064,0.075,2019
South Korea,5.895,1.301,1.036,0.159,0.056,0.175,2019
Estonia,5.893,1.237,0.874,0.495,0.161,0.103,2019
Jamaica,5.89,0.831,0.831,0.49,0.028,0.107,2019
Mauritius,5.888,1.12,0.798,0.498,0.06,0.215,2019
Japan,5.886,1.327,1.088,0.445,0.14,0.069,2019
Honduras,5.86,0.642,0.828,0.507,0.078,0.246,2019
Kazakhstan,5.809,1.173,0.729,0.41,0.096,0.146,2019
Bolivia,5.779,0.776,0.706,0.511,0.064,0.137,2019
Hungary,5.758,1.201,0.828,0.199,0.02,0.081,2019
Paraguay,5.743,0.855,0.777,0.514,0.08,0.184,2019
Northern Cyprus,5.718,1.263,1.042,0.417,0.162,0.191,2019
Peru,5.697,0.96,0.854,0.455,0.027,0.083,2019
Portugal,5.693,1.221,0.999,0.508,0.025,0.047,2019
Pakistan,5.653,0.677,0.535,0.313,0.098,0.22,2019
Russia,5.648,1.183,0.726,0.334,0.031,0.082,2019
Philippines,5.631,0.807,0.657,0.558,0.107,0.117,2019
Serbia,5.603,1.004,0.854,0.282,0.039,0.137,2019
Moldova,5.529,0.685,0.739,0.245,0,0.181,2019
Libya,5.525,1.044,0.673,0.416,0.152,0.133,2019
Montenegro,5.523,1.051,0.871,0.197,0.08,0.142,2019
Tajikistan,5.467,0.493,0.718,0.389,0.144,0.23,2019
Croatia,5.432,1.155,0.914,0.296,0.022,0.119,2019
Hong Kong,5.43,1.438,1.122,0.44,0.287,0.258,2019
Dominican Republic,5.425,1.015,0.779,0.497,0.101,0.113,2019
Bosnia and Herzegovina,5.386,0.945,0.845,0.212,0.006,0.263,2019
Turkey,5.373,1.183,0.808,0.195,0.106,0.083,2019
Malaysia,5.339,1.221,0.828,0.508,0.024,0.26,2019
Belarus,5.323,1.067,0.789,0.235,0.142,0.094,2019
Greece,5.287,1.181,0.999,0.067,0.034,0,2019
Mongolia,5.285,0.948,0.667,0.317,0.038,0.235,2019
North Macedonia,5.274,0.983,0.838,0.345,0.034,0.185,2019
Nigeria,5.265,0.696,0.245,0.426,0.041,0.215,2019
Kyrgyzstan,5.261,0.551,0.723,0.508,0.023,0.3,2019
Turkmenistan,5.247,1.052,0.657,0.394,0.028,0.244,2019
Algeria,5.211,1.002,0.785,0.086,0.114,0.073,2019
Morocco,5.208,0.801,0.782,0.418,0.076,0.036,2019
Azerbaijan,5.208,1.043,0.769,0.351,0.182,0.035,2019
Lebanon,5.197,0.987,0.815,0.216,0.027,0.166,2019
Indonesia,5.192,0.931,0.66,0.491,0.028,0.498,2019
China,5.191,1.029,0.893,0.521,0.1,0.058,2019
Vietnam,5.175,0.741,0.851,0.543,0.073,0.147,2019
Bhutan,5.082,0.813,0.604,0.457,0.167,0.37,2019
Cameroon,5.044,0.549,0.331,0.381,0.037,0.187,2019
Bulgaria,5.011,1.092,0.815,0.311,0.004,0.081,2019
Ghana,4.996,0.611,0.486,0.381,0.04,0.245,2019
Ivory Coast,4.944,0.569,0.232,0.352,0.09,0.154,2019
Nepal,4.913,0.446,0.677,0.439,0.089,0.285,2019
Jordan,4.906,0.837,0.815,0.383,0.13,0.11,2019
Benin,4.883,0.393,0.397,0.349,0.082,0.175,2019
Congo (Brazzaville),4.812,0.673,0.508,0.372,0.093,0.105,2019
Gabon,4.799,1.057,0.571,0.295,0.055,0.043,2019
Laos,4.796,0.764,0.551,0.547,0.164,0.266,2019
South Africa,4.722,0.96,0.469,0.389,0.055,0.13,2019
Albania,4.719,0.947,0.874,0.383,0.027,0.178,2019
Venezuela,4.707,0.96,0.805,0.154,0.047,0.064,2019
Cambodia,4.7,0.574,0.637,0.609,0.062,0.232,2019
Palestinian Territories,4.696,0.657,0.672,0.225,0.066,0.103,2019
Senegal,4.681,0.45,0.571,0.292,0.072,0.153,2019
Somalia,4.668,0,0.268,0.559,0.27,0.243,2019
Namibia,4.639,0.879,0.477,0.401,0.056,0.07,2019
Niger,4.628,0.138,0.366,0.318,0.102,0.188,2019
Burkina Faso,4.587,0.331,0.38,0.255,0.113,0.177,2019
Armenia,4.559,0.85,0.815,0.283,0.064,0.095,2019
Iran,4.548,1.1,0.785,0.305,0.125,0.27,2019
Guinea,4.534,0.38,0.375,0.332,0.086,0.207,2019
Georgia,4.519,0.886,0.752,0.346,0.164,0.043,2019
Gambia,4.516,0.308,0.428,0.382,0.167,0.269,2019
Kenya,4.509,0.512,0.581,0.431,0.053,0.372,2019
Mauritania,4.49,0.57,0.489,0.066,0.088,0.106,2019
Mozambique,4.466,0.204,0.39,0.494,0.138,0.197,2019
Tunisia,4.461,0.921,0.815,0.167,0.055,0.059,2019
Bangladesh,4.456,0.562,0.723,0.527,0.143,0.166,2019
Iraq,4.437,1.043,0.574,0.241,0.089,0.148,2019
Congo (Kinshasa),4.418,0.094,0.357,0.269,0.053,0.212,2019
Mali,4.39,0.385,0.308,0.327,0.052,0.153,2019
Sierra Leone,4.374,0.268,0.242,0.309,0.045,0.252,2019
Sri Lanka,4.366,0.949,0.831,0.47,0.047,0.244,2019
Myanmar,4.36,0.71,0.555,0.525,0.172,0.566,2019
Chad,4.35,0.35,0.192,0.174,0.078,0.198,2019
Ukraine,4.332,0.82,0.739,0.178,0.01,0.187,2019
Ethiopia,4.286,0.336,0.532,0.344,0.1,0.209,2019
Swaziland,4.212,0.811,0,0.313,0.135,0.074,2019
Uganda,4.189,0.332,0.443,0.356,0.06,0.252,2019
Egypt,4.166,0.913,0.644,0.241,0.067,0.076,2019
Zambia,4.107,0.578,0.426,0.431,0.087,0.247,2019
Togo,4.085,0.275,0.41,0.293,0.085,0.177,2019
India,4.015,0.755,0.588,0.498,0.085,0.2,2019
Liberia,3.975,0.073,0.443,0.37,0.033,0.233,2019
Comoros,3.973,0.274,0.505,0.142,0.078,0.275,2019
Madagascar,3.933,0.274,0.555,0.148,0.041,0.169,2019
Lesotho,3.802,0.489,0.168,0.359,0.093,0.107,2019
Burundi,3.775,0.046,0.38,0.22,0.18,0.176,2019
Zimbabwe,3.663,0.366,0.433,0.361,0.089,0.151,2019
Haiti,3.597,0.323,0.449,0.026,0.11,0.419,2019
Botswana,3.488,1.041,0.538,0.455,0.1,0.025,2019
Syria,3.462,0.619,0.44,0.013,0.141,0.331,2019
