country,score,gdp,life_exp,freedom,gov_corr,generosity
North Cyprus,5.53550005,10.40570259,73.70222473,0.79529351,0.62611568,0.000227159
Greece,5.514999866,10.13232613,72.40525818,0.541345119,0.859931409,-0.300907373
Hong Kong S.A.R. of China,5.510399818,10.9346714,76.77170563,0.779833794,0.420607209,0.134979904
Croatia,5.504700184,10.07087517,70.21490479,0.714838803,0.916495264,-0.128538325
Libya,5.488800049,9.789815903,62.29999924,0.773157001,0.668779135,-0.085054487
Mongolia,5.456200123,9.412186623,62.30448532,0.693351328,0.863511205,0.098093867
Malaysia,5.384300232,10.26251888,67.10215759,0.894626856,0.839302301,0.114726797
Vietnam,5.353499889,8.809545517,67.9527359,0.939592957,0.79642123,-0.094533332
Indonesia,5.285600185,9.36975193,62.15584946,0.870614409,0.876296401,0.519586504
Ivory Coast,5.233300209,8.225561142,49.50377274,0.727909327,0.790771961,-0.043991156
Benin,5.21600008,7.674319744,54.31246567,0.735182583,0.740532577,-0.003537213
Maldives,5.197599888,9.518632889,70.59999847,0.853962779,0.824211061,0.038085498
Congo (Brazzaville),5.194399834,8.536987305,57.92448044,0.719058514,0.751779079,-0.123674095
Azerbaijan,5.164800167,9.687726974,65.50839996,0.786824107,0.55253756,-0.240255281
Macedonia,5.159800053,9.510591507,67.50442505,0.738840938,0.897490501,-0.019877451
Ghana,5.147999763,8.350645065,57.20398712,0.794796526,0.847964764,0.094170853
Nepal,5.137199879,7.925357342,63.77917862,0.797565043,0.738099158,0.154168829
Turkey,5.131800175,10.12941933,66.90281677,0.608830452,0.748197377,-0.171046436
China,5.123899937,9.688568115,69.2891922,0.898517907,0.7539711,-0.18142575
Turkmenistan,5.119100094,9.74803257,62.21170807,0.826457024,0.883691847,0.187671542
Bulgaria,5.101500034,9.869318962,66.80397797,0.745178163,0.935585141,-0.143908441
Morocco,5.094799995,8.940313339,65.89624023,0.772072434,0.815724611,-0.240377247
Cameroon,5.084899902,8.118647575,52.7049408,0.763051808,0.851336598,-0.00149645
Venezuela,5.053199768,8.977793694,66.50534058,0.62327832,0.837038398,-0.169090509
Algeria,5.005099773,9.537964821,65.90517426,0.466610909,0.735485137,-0.121105164
Senegal,4.980800152,8.118982315,59.59915161,0.690596163,0.808785141,-0.052335154
Guinea,4.949299812,7.750990391,54.46780014,0.706846774,0.761794448,0.076328471
